step,tag,value
42,node_t001-nxcore_memory,3695181824.0
43,node_t001-nxcore_memory,3221225472.0
44,node_t001-nxcore_memory,3695181824.0
45,node_t001-nxcore_memory,3221225472.0
46,node_t001-nxcore_memory,3695181824.0
47,node_t001-nxcore_memory,3221225472.0
48,node_t001-nxcore_memory,3695181824.0
49,node_t001-nxcore_memory,3221225472.0
0,node_t001-nxcore_power,10.199999809265137
1,node_t001-nxcore_power,8.300000190734863
2,node_t001-nxcore_power,9.199999809265137
3,node_t001-nxcore_power,8.300000190734863
4,node_t001-nxcore_power,9.199999809265137
5,node_t001-nxcore_power,8.300000190734863
6,node_t001-nxcore_power,9.199999809265137
7,node_t001-nxcore_power,8.300000190734863
8,node_t001-nxcore_power,9.199999809265137
9,node_t001-nxcore_power,8.300000190734863
10,node_t001-nxcore_power,10.199999809265137
11,node_t001-nxcore_power,8.300000190734863
12,node_t001-nxcore_power,9.199999809265137
13,node_t001-nxcore_power,8.300000190734863
14,node_t001-nxcore_power,9.199999809265137
15,node_t001-nxcore_power,8.300000190734863
16,node_t001-nxcore_power,9.199999809265137
17,node_t001-nxcore_power,8.300000190734863
18,node_t001-nxcore_power,9.199999809265137
19,node_t001-nxcore_power,8.300000190734863
20,node_t001-nxcore_power,10.199999809265137
21,node_t001-nxcore_power,8.300000190734863
22,node_t001-nxcore_power,9.199999809265137
23,node_t001-nxcore_power,8.300000190734863
24,node_t001-nxcore_power,9.199999809265137
25,node_t001-nxcore_power,8.300000190734863
26,node_t001-nxcore_power,9.199999809265137
27,node_t001-nxcore_power,8.300000190734863
28,node_t001-nxcore_power,9.199999809265137
29,node_t001-nxcore_power,8.300000190734863
30,node_t001-nxcore_power,10.199999809265137
31,node_t001-nxcore_power,8.300000190734863
32,node_t001-nxcore_power,9.199999809265137
33,node_t001-nxcore_power,8.300000190734863
34,node_t001-nxcore_power,9.199999809265137
35,node_t001-nxcore_power,8.300000190734863
36,node_t001-nxcore_power,9.199999809265137
37,node_t001-nxcore_power,8.300000190734863
38,node_t001-nxcore_power,9.199999809265137
39,node_t001-nxcore_power,8.300000190734863
40,node_t001-nxcore_power,10.199999809265137
41,node_t001-nxcore_power,8.300000190734863
42,node_t001-nxcore_power,9.199999809265137
43,node_t001-nxcore_power,8.300000190734863
44,node_t001-nxcore_power,9.199999809265137
45,node_t001-nxcore_power,8.300000190734863
46,node_t001-nxcore_power,9.199999809265137
47,node_t001-nxcore_power,8.300000190734863
48,node_t001-nxcore_power,9.199999809265137
49,node_t001-nxcore_power,8.300000190734863
0,node_t001-nxcore_power_moving_average,10.199999809265137
1,node_t001-nxcore_power_moving_average,8.300000190734863
2,node_t001-nxcore_power_moving_average,9.199999809265137
3,node_t001-nxcore_power_moving_average,8.300000190734863
4,node_t001-nxcore_power_moving_average,9.199999809265137
5,node_t001-nxcore_power_moving_average,8.300000190734863
6,node_t001-nxcore_power_moving_average,9.199999809265137
7,node_t001-nxcore_power_moving_average,8.300000190734863
8,node_t001-nxcore_power_moving_average,9.199999809265137
9,node_t001-nxcore_power_moving_average,8.300000190734863
10,node_t001-nxcore_power_moving_average,10.199999809265137
11,node_t001-nxcore_power_moving_average,8.300000190734863
12,node_t001-nxcore_power_moving_average,9.199999809265137
13,node_t001-nxcore_power_moving_average,8.300000190734863
14,node_t001-nxcore_power_moving_average,9.199999809265137
15,node_t001-nxcore_power_moving_average,8.300000190734863
16,node_t001-nxcore_power_moving_average,9.199999809265137
17,node_t001-nxcore_power_moving_average,8.300000190734863
18,node_t001-nxcore_power_moving_average,9.199999809265137
19,node_t001-nxcore_power_moving_average,8.300000190734863
20,node_t001-nxcore_power_moving_average,10.199999809265137
21,node_t001-nxcore_power_moving_average,8.300000190734863
22,node_t001-nxcore_power_moving_average,9.199999809265137
23,node_t001-nxcore_power_moving_average,8.300000190734863
24,node_t001-nxcore_power_moving_average,9.199999809265137
25,node_t001-nxcore_power_moving_average,8.300000190734863
26,node_t001-nxcore_power_moving_average,9.199999809265137
27,node_t001-nxcore_power_moving_average,8.300000190734863
28,node_t001-nxcore_power_moving_average,9.199999809265137
29,node_t001-nxcore_power_moving_average,8.300000190734863
30,node_t001-nxcore_power_moving_average,10.199999809265137
31,node_t001-nxcore_power_moving_average,8.300000190734863
32,node_t001-nxcore_power_moving_average,9.199999809265137
33,node_t001-nxcore_power_moving_average,8.300000190734863
34,node_t001-nxcore_power_moving_average,9.199999809265137
35,node_t001-nxcore_power_moving_average,8.300000190734863
36,node_t001-nxcore_power_moving_average,9.199999809265137
37,node_t001-nxcore_power_moving_average,8.300000190734863
38,node_t001-nxcore_power_moving_average,9.199999809265137
39,node_t001-nxcore_power_moving_average,8.300000190734863
40,node_t001-nxcore_power_moving_average,10.199999809265137
41,node_t001-nxcore_power_moving_average,8.300000190734863
42,node_t001-nxcore_power_moving_average,9.199999809265137
43,node_t001-nxcore_power_moving_average,8.300000190734863
44,node_t001-nxcore_power_moving_average,9.199999809265137
45,node_t001-nxcore_power_moving_average,8.300000190734863
46,node_t001-nxcore_power_moving_average,9.199999809265137
47,node_t001-nxcore_power_moving_average,8.300000190734863
48,node_t001-nxcore_power_moving_average,9.199999809265137
49,node_t001-nxcore_power_moving_average,8.300000190734863
0,node_t001-nxcore_finished_workloads,3.0
1,node_t001-nxcore_finished_workloads,4.0
2,node_t001-nxcore_finished_workloads,6.0
3,node_t001-nxcore_finished_workloads,7.0
4,node_t001-nxcore_finished_workloads,9.0
5,node_t001-nxcore_finished_workloads,10.0
6,node_t001-nxcore_finished_workloads,12.0
7,node_t001-nxcore_finished_workloads,13.0
8,node_t001-nxcore_finished_workloads,15.0
9,node_t001-nxcore_finished_workloads,16.0
10,node_t001-nxcore_finished_workloads,19.0
11,node_t001-nxcore_finished_workloads,20.0
12,node_t001-nxcore_finished_workloads,22.0
13,node_t001-nxcore_finished_workloads,23.0
14,node_t001-nxcore_finished_workloads,25.0
15,node_t001-nxcore_finished_workloads,26.0
16,node_t001-nxcore_finished_workloads,28.0
17,node_t001-nxcore_finished_workloads,29.0
18,node_t001-nxcore_finished_workloads,31.0
19,node_t001-nxcore_finished_workloads,32.0
20,node_t001-nxcore_finished_workloads,35.0
21,node_t001-nxcore_finished_workloads,36.0
22,node_t001-nxcore_finished_workloads,38.0
23,node_t001-nxcore_finished_workloads,39.0
24,node_t001-nxcore_finished_workloads,41.0
25,node_t001-nxcore_finished_workloads,42.0
26,node_t001-nxcore_finished_workloads,44.0
27,node_t001-nxcore_finished_workloads,45.0
28,node_t001-nxcore_finished_workloads,47.0
29,node_t001-nxcore_finished_workloads,48.0
30,node_t001-nxcore_finished_workloads,51.0
31,node_t001-nxcore_finished_workloads,52.0
32,node_t001-nxcore_finished_workloads,54.0
33,node_t001-nxcore_finished_workloads,55.0
34,node_t001-nxcore_finished_workloads,57.0
35,node_t001-nxcore_finished_workloads,58.0
36,node_t001-nxcore_finished_workloads,60.0
37,node_t001-nxcore_finished_workloads,61.0
38,node_t001-nxcore_finished_workloads,63.0
39,node_t001-nxcore_finished_workloads,64.0
40,node_t001-nxcore_finished_workloads,67.0
41,node_t001-nxcore_finished_workloads,68.0
42,node_t001-nxcore_finished_workloads,70.0
43,node_t001-nxcore_finished_workloads,71.0
44,node_t001-nxcore_finished_workloads,73.0
