step,tag,value
47,node_t001-nxcore_memory,0.0
48,node_t001-nxcore_memory,5842665472.0
49,node_t001-nxcore_memory,0.0
0,node_t001-nxcore_power,14.300000190734863
1,node_t001-nxcore_power,5.0
2,node_t001-nxcore_power,10.800000190734863
3,node_t001-nxcore_power,5.0
4,node_t001-nxcore_power,10.800000190734863
5,node_t001-nxcore_power,5.0
6,node_t001-nxcore_power,10.800000190734863
7,node_t001-nxcore_power,5.0
8,node_t001-nxcore_power,10.800000190734863
9,node_t001-nxcore_power,5.0
10,node_t001-nxcore_power,11.0
11,node_t001-nxcore_power,5.0
12,node_t001-nxcore_power,10.800000190734863
13,node_t001-nxcore_power,5.0
14,node_t001-nxcore_power,10.800000190734863
15,node_t001-nxcore_power,5.0
16,node_t001-nxcore_power,10.800000190734863
17,node_t001-nxcore_power,5.0
18,node_t001-nxcore_power,10.800000190734863
19,node_t001-nxcore_power,5.0
20,node_t001-nxcore_power,11.0
21,node_t001-nxcore_power,5.0
22,node_t001-nxcore_power,10.800000190734863
23,node_t001-nxcore_power,5.0
24,node_t001-nxcore_power,10.800000190734863
25,node_t001-nxcore_power,5.0
26,node_t001-nxcore_power,10.800000190734863
27,node_t001-nxcore_power,5.0
28,node_t001-nxcore_power,10.800000190734863
29,node_t001-nxcore_power,5.0
30,node_t001-nxcore_power,11.0
31,node_t001-nxcore_power,5.0
32,node_t001-nxcore_power,10.800000190734863
33,node_t001-nxcore_power,5.0
34,node_t001-nxcore_power,10.800000190734863
35,node_t001-nxcore_power,5.0
36,node_t001-nxcore_power,10.800000190734863
37,node_t001-nxcore_power,5.0
38,node_t001-nxcore_power,10.800000190734863
39,node_t001-nxcore_power,5.0
40,node_t001-nxcore_power,11.0
41,node_t001-nxcore_power,5.0
42,node_t001-nxcore_power,10.800000190734863
43,node_t001-nxcore_power,5.0
44,node_t001-nxcore_power,10.800000190734863
45,node_t001-nxcore_power,5.0
46,node_t001-nxcore_power,10.800000190734863
47,node_t001-nxcore_power,5.0
48,node_t001-nxcore_power,10.800000190734863
49,node_t001-nxcore_power,5.0
0,node_t001-nxcore_power_moving_average,14.300000190734863
1,node_t001-nxcore_power_moving_average,11.199999809265137
2,node_t001-nxcore_power_moving_average,10.800000190734863
